gloss,synsetname,relationid
ቅጠልን ከዋናው ግንድ ላይ ቆረጠ፣ ቀነጠበ,መለመለ,6
አንድን ነገር ቀድሞ ከነበረበት ቦታ አመጣ ወይም ወሰደ,መለሰ,0
ለተጠየቀው ነገር መልስ ሰጠ,መለሰ,6
ገታ ከለከለ,መለሰ,4
ገርበብ አደረገ በርን መስኮትን,መለሰ,3
በተደጋጋሚ እየሄደ መጣ,ተመላለሰ,0
ንግግር ተለዋወጣ,ተመላለሰ,6
እርስ በርስ ውለታ ብድር ተከፋፈለ,ተመላለሰ,3
ደበደበ ፣ ገረፈ ገጨ,መታ,0
ሰረረ አህያ ፈረስ,መታ,6
ጠባ፣  መጠመጠ,ለመገ,0
ሸመቀ፣ አደባ,ለመገ,6
ዛገ መሬት መሰለ,መረተ,0
ፈሬው ከገለባ ከእብቅ የተለየ,መረተ,6
ብዙ ፍም ወረደ ተንደረከከ።,መረተ,2
መጥኖ ቆረጠ ፣ ከተፈ,መተረ,1
ርዝመትን መለካት,መተረ,3
ዋና ከተማ ፣ ዋና መገኛ ማእከል,መዲና,0
ብዙውን ጊዜ ይዘቱ ሀዘንና እንጉርጉሮ የሆነ ባላ አራት ስንኝ ግጥም,መዲና,6
ገባ ታየ ኮከብ,መገበ,0
ቀለበ ፣ አበላ ፣ አጠጣ ,መገበ,6
ከአይብ፣ ከጎመን ዘርና ሌሎች ቅመማት የሚዘጋጅ የምግብ አይነት ,መጣጣ,6
ሆምጣጣ,መጣጣ,4
ጠባ ፣ መጠመጠ፣ ሳበ,መጣጣ,0
ውበት ደም ግባት፣ ላህይ,ሙስና,0
ለኮሶ ትል መዳህኒት ይሆናል የሚባል በቆላ አካባቢ የሚበቅል የእጽዋት አይነት,ሙስና,6
በስልጣን ወይም በስራ ድርሻ አላግባብ የመጠቀም,ሙስና,3
በጥዋት ተነሳ,ማለደ,0
ለመነ ደጅ ጠና,ማለደ,6
የተሽከርካሪን ፍጥነት ለመቀያየር የሚያስችል ጥርሶች ያሉት የተሽከርካሪ ክፍል,ማርሽ,0
በአንድ ወታደራዊ ክፍል ውስጥ የሚገኝ የሙዚቃ ባንድ,ማርሽ,6
ጥምዝ ሆኖ የተሰራ ሲገፋ የመሰብሰብና ሲጎተት ደግሞ የመለጠጥ ባህርይ ያለው ተገፍቶ ወይም ተጉትቶ ሲለቀቅ ወደ ፊተኛው ቅርጹ የሚመለስ ብረት ወይም ሽቦ,ሞላ,0
ቀዳ ጨመረ፣ ቲም አደረገ,ሞላ,6
አሾለ አሞጠሞጠ,ሞረሞረ,0
ቦረቦረ ሞሸለቀ ውስጥ ውስጥ(ረሃብ),ሞረሞረ,6
የሞተ በድን የሆነ,ሙት,0
 ለሁለተኛ መደብ የተናገረውን እውነታነት ለማረጋገጥ የሚደረግ መሃላ,ሙት,6
በጫት ሰከረ,መረቀነ,6
ተመኘ፣ ጓጓ፣ ፈለገ,መረቀነ,0
ከገመድ ወይም ከክር ጥልፍልፍ ሆኖ የተሰራ የአሳ ማጥመጃ ወይም የኳስ መጫወቻ,መረብ,0
አንድ ድርጅት ወይም ቡድን አንድን ስራ የሚያከናዉንበት ተዋረድ ወይም መዋቅር,መረብ,6
በእንጨት የተሰራን የቤት ቀዳዳ በጭቃ ለጠፈ,መረገ,2
የረስን ጥፋት በሌላ አመካኘ፣ አላከከ,መረገ,0
ፈት፣ ፊት ሄደ ፣ ቀደመ,መራ,0
አስተላለፈ ወደ ሌላ አሻገረ መሬትን ጉዳይን,መራ,6
ሰጭ፣ ደልዳይ(መሬትን),መሪ,0
ገዥ፣ አስተዳዳሪ ,መሪ,6
በለምለም ሳር የተሸፈነ ሜዳ ,መስክ,0
ከቢሮ ውጭ የሚሰራ ስራ,መስክ,6
አላቆም አላባራ አለ(ዝናብ),መነቸከ,0
አልታኘክ አልገራ አለ,መነቸከ,6
በጣም አደፈ ቆሸሸ,መነቸከ,3
ተናፈጠ፣ ጎልጉሎ አወጣ(ንፍጥን),መነጎለ,6
በሳ፣ ነደለ፣ ሰረሰረ,መነጎለ,0
በአጭር ጊዜ ሃብት አካበተ አደገ,ተመነጠቀ,0
ድንገት ብድግ ብሎ ሄደ,ተመነጠቀ,6
ጸሐይ ወይም ንፋስ እንዲአገኝው አደረገ,መነዘረ,0
ገንዘብ አወጣ አባከነ,መነዘረ,6
ጥቅል ገንዘብን ተመጣጣኝነት ወዳላቸው ገንዘቦች ለወጠ,መነዘረ,4
እግዚአብሔር ከሰማይ ለእስራየላዉያን አውርዶ የሚመግባቸው የነበረ ምግብ,መና,6
ከንቱ ብላሽ ዋጋ የሌለው,መና,0
ልዩ ልዩ አትክልቶችን ለምትከል የሚያስችል ተቆፍሮ የለሰለሰና ከፍ ብሎ የተደለደለ ቦታ,መደብ,6
በንግግር ወይም በጽሑፍ ጊዜ ስሙ፣ ተውላጠ ስሙ፣ ግሱ የሚያመለክተዉ,መደብ,0
ምረን የሚያርፍበት የቀንበር አማካኝ ቦታ,መደብ,2
ወደ ትልቅ ወንዝ የሚቀላቀል ትንሽ ወንዝ,መጋቢ,0
የአበምኔት ምክትል የሆነ የገዳም ሹም,መጋቢ,6
አንድን ሰዉ ወይም አንድን ጉዳይ ብቻ የያዙ ፋይሎች፣ ሰንዶች የሚቀመጡበት ዶሴ,ማህደር,0
የመጻፉን ቅርጽ ይዞ ከቆዳ የሚዘጋጅ ባለማንጠልጠያ የዳዊት መያዣ,ማሀደር,6
በዉሃ ዉስጥ ገብቶ  የአካል ብቃት እንቅስቃሴ ማድረግ,ዋና,0
የአንድ መስሪያ ቤት ወይም ድርጅት የበላይ ሀላፊ,ዋና,6
 ፈሳሽ የሆነና ብርማ  ነጭ መልክ ያለው ማእድን ባዙቃ,ሜርኩሪ,0
ለጸሐይ ቅርብ ሆና የምትገኝና ጸሐይን ከሚዞሩ ዘጠኙ ፕላኔቶች አንዷ ፕላኔት,ሜርኩሪ,6
ራስ ማለት ነው,ማእዘን,0
አራት ገጽ ያለዉ ጥርብ እንጨት ወይም መጋጠሚያ ማለት ነው,ማእዘን,6
ምንም ሳያስቀር ጠራርጎ ወሰደ ሰረቀ,ሞለጨ,6
ገረፈ ቀጣ,ሞለጨ,0
በጣም ተሳደበ,ሞለጨ,7
ደመቀ፣ ደራ(ጨዋታው),ሞቀ,0
ጋለ፣ ተኮሰ ፣ሰማ,ሞቀ,6
ራበ ሞርሞረ,ሞሸለቀ,6
ሰረቀ፣ መነተፈ,ሞሸለቀ,0
ገረፈ፣ በጅራፍ መታ,ሞሸለቀ,0
ፈጀ አቃጠለ ፣ ላፈ,ሞሸለቀ,6
ላጠ፣ ገፈፈ,ሞሸለቀ,2
ከመጠን በላይ ለፋ፣ ደከመ,ሞተ,0
ነፍሱ ከስጋው ተለየች,ሞተ,6
ካሁን በፊት ላለ ወይም ወደፊት ለሚሰራ ነገር እንደምሳሌ ሆኖ የሚቀርብና የሚታይ ናሙና ምስል,ሞዴል,0
መስሪያ ቤቶች ለሰራተኞቻችዉ ቅድሚያ የሚሰጡትና ከደሞዛቸው ተቆራጭ ሆኖ የሚከፈል ብድር,ሞዴል,6
የተለያዩ ጉዳዮችን ለመመዝግብ የተዘጋጀ ቅጽ ወይም ሰነድ,ሞዴል,3
ከጤፍ ጋር የሚበቅል ፍሬው ጤፍ የሚመስል ሳር,ሟጭራ,0
በእንጀራ ሰበከት ላይ የሚገኝ እጅ ላይ የሚጣበቅና አራራ የሚመስል ነገር,ሟጨራ,6
ለረጅም ጊዜ ዝናቡ ጣለ ረጠባ,ረቀረቀ,3
መላልሶ መታ ደበደበ,ረቀረቀ,6
